Unnamed..0,Artist,Album,Album_Id,Popularity,Fan_Genre,SongList,average_liveness,average_loudness,average_tempo,average_instrumentalness,average_energy,average_danceability,average_acousticness,average_valence,Album_release,Album_length,Album_label
445,Brandy,Never Say Never,1Co6e9ag1gRKcWdG7xKcCi,45,Pop,"['1b8nkgJPYy5dZXqiwIry6R', '6PQTUESsPMNcDAg2LEmxh7', '6sHsXIJoEN5JpdkGMQDJxt', '4Q2Lu1WP8tNZX85cfhxuQ0', '5ZCv9I8mgChcYkSrLuLSTc', '6BxiFSFVzviEqe2eIaruLV', '1iuwzRxWxDB7VbBldAtmrP', '2PEGGWSb06ARYfgtkgl1hm', '27wMTSKnygpHgbioqIFhjK', '6tBD4yjOf9P8rWwUlXdJFm', '4ybmXfJBtGT5rWvt5xDl59', '1s9Dzjks8HpU5sBPQ7w6of', '5Hm2DbFCDXRAiC5ad9oTBk', '4s7YAOjrVmgveJHVjspnWa', '2d6j1Vvbgt1PfsjkjgSetT', '3NisXVV6O727QM1GZaAAen']",0.21258125,-6.634375,113.1195625,0.011767688,0.52675,0.6496875,0.315859375,0.5196875,5/29/1998,16,Atlantic Records
417,Debbie Gibson,Electric Youth,5PnwSSRbLcCLpNMe2LFhOC,17,Pop,"['6zt0uFDOyfZoVCFm98tLK4', '6PMDILZiYo4YzMBbE0dGK9', '3Z0ozcDLfpLvh56KxbLZVl', '731AYgRxlvn8nAu4XFWzxt', '7Jp7KVXdyyKpNXD3wngU4W', '1IQIeIhuNG0cECylTXcRWR', '5zzFuyXkcB6gBqWMD78LJA', '2CxHodO8PvTJjzjJLPjXEt', '3Gqj3ol4hgK1Be4VIpZZ4J', '3Xf2sQ8QKjl9b7MY2UsmvR', '2G8r1szG0EFMrOWtqEoG9a', '4hq9sVvALE0Oi0O39gm6ko', '04iYyzFHZLlA9XeaifkHyz']",0.236,-11.24746154,125.1333846,1.36E-04,0.579307692,0.645076923,0.360776923,0.611153846,1/10/1989,13,Atlantic Records
205,Genesis,A Trick of the Tail,5ZhcTdSKircYOKjpX3ycED,5,Prog,"['2Pgp5Ur1A30HlbxJySseEM', '3DL5eKy6VvgrMXfOjJKz6N', '6EiT2cnba7qTnt2flHFaQR', '5XKg7aK8ssbNzwY6cu6WVf', '5Zrwq2K26Kn8zpJz8Ic4oD', '7DwXVzYDo6GNSiEw3GGC1M', '0L9pdiL79AX0NnX3sOZOSk', '6t1qG0YWhTx2LySGioK2od']",0.1426125,-14.887375,124.292,0.092885831,0.36925,0.367375,0.19262375,0.284975,2/2/1976,8,Atlantic Records
207,Genesis,Nursery Cryme,1ixuwlmJ9AOYGZCc2WrLwo,7,Prog,"['1WDaN2MGhYmdQI1Osx7h6Q', '2Gr7Fvwzc3xP8R7xkUSMTR', '1oWh9ZsPP0pWaw7T5yAwgf', '2poII0UW7yy2ex70MbyURl', '2p7RcVGykyXz4xQZVuY6SZ', '0MbByVelXI7KGRLGsFxb10', '2GkMry3dOnhgUC6lQnYpFA']",0.175057143,-15.56457143,123.4128571,0.017344814,0.346857143,0.415142857,0.379385714,0.3139,11/12/1971,7,Atlantic Records
11,Led Zeppelin,Led Zeppelin [IV],44Ig8dzqOkvkGDzaUof9lK,11,Grunge,"['3qT4bUD1MaWpGrTwcvguhb', '4PRGxHpCpF2yoOHYKQIEwD', '6MSoJM9UIFHozmBCduQRje', '5CQ30WqJwcep0pYcV4AMNc', '5NnZ4JJxWiqqhYNu3rwmFj', '4Sc5qEOSFI5rfS9IDyu0GO', '70gbuMqwNBE2Y5rkQJE9By', '05f8Hg3RSfiPSCBQOtxl3i', '59Zl5fFDhkGhFv0TGeyqbv', '35a7EjRYYLLyH4prB1zExl', '3gyroWpKKzkVkOhLJ57Tv5', '7llNWna9CEKr88Ng4vAwiI', '05BTaDBhGylMDjupCczCwC', '4Y4xWuvM7MKGKxECXfnKtV', '7s2HYAN8PSba9OGqgTL7mo', '1zLAyTaKUdiZSmOifuu2kv']",0.18130625,-10.25525,117.53425,0.278528313,0.6696875,0.4115625,0.3675145,0.5848125,11/8/1971,16,Atlantic Records
45,Led Zeppelin,Led Zeppelin,44Ig8dzqOkvkGDzaUof9lK,45,Grunge,"['3qT4bUD1MaWpGrTwcvguhb', '4PRGxHpCpF2yoOHYKQIEwD', '6MSoJM9UIFHozmBCduQRje', '5CQ30WqJwcep0pYcV4AMNc', '5NnZ4JJxWiqqhYNu3rwmFj', '4Sc5qEOSFI5rfS9IDyu0GO', '70gbuMqwNBE2Y5rkQJE9By', '05f8Hg3RSfiPSCBQOtxl3i', '59Zl5fFDhkGhFv0TGeyqbv', '35a7EjRYYLLyH4prB1zExl', '3gyroWpKKzkVkOhLJ57Tv5', '7llNWna9CEKr88Ng4vAwiI', '05BTaDBhGylMDjupCczCwC', '4Y4xWuvM7MKGKxECXfnKtV', '7s2HYAN8PSba9OGqgTL7mo', '1zLAyTaKUdiZSmOifuu2kv']",0.18130625,-10.25525,117.53425,0.278528313,0.6696875,0.4115625,0.3675145,0.5848125,11/8/1971,16,Atlantic Records
56,Led Zeppelin,Led Zeppelin III,6P5QHz4XtxOmS5EuiGIPut,56,Grunge,"['78lgmZwycJ3nzsdgmPPGNx', '7jP44G0vKQLkfJ3x19pqPn', '78MXICbE7bD4cuPKFh1EFO', '1SDiiE3v2z89VxC3aVRKHQ', '6fxcpQMUoX0ofnbIHVnVWN', '4S2QZuPFZ9qeHW2sonMJS1', '4ywWJqYKOwaVVh9xXARWUS', '1ZUv3ISx2nFaz0JimVdcoT', '1dK6cNOMYjEP3QGYOfwP6t', '63jSSgwKQtEdOVRuj85GX7']",0.21546,-11.1981,104.011,0.04532502,0.614,0.3959,0.22966,0.34008,1970,10,Atlantic Records
257,Led Zeppelin,Led Zeppelin [IV],44Ig8dzqOkvkGDzaUof9lK,57,Prog,"['3qT4bUD1MaWpGrTwcvguhb', '4PRGxHpCpF2yoOHYKQIEwD', '6MSoJM9UIFHozmBCduQRje', '5CQ30WqJwcep0pYcV4AMNc', '5NnZ4JJxWiqqhYNu3rwmFj', '4Sc5qEOSFI5rfS9IDyu0GO', '70gbuMqwNBE2Y5rkQJE9By', '05f8Hg3RSfiPSCBQOtxl3i', '59Zl5fFDhkGhFv0TGeyqbv', '35a7EjRYYLLyH4prB1zExl', '3gyroWpKKzkVkOhLJ57Tv5', '7llNWna9CEKr88Ng4vAwiI', '05BTaDBhGylMDjupCczCwC', '4Y4xWuvM7MKGKxECXfnKtV', '7s2HYAN8PSba9OGqgTL7mo', '1zLAyTaKUdiZSmOifuu2kv']",0.18130625,-10.25525,117.53425,0.278528313,0.6696875,0.4115625,0.3675145,0.5848125,11/8/1971,16,Atlantic Records
323,Led Zeppelin,Led Zeppelin [IV],44Ig8dzqOkvkGDzaUof9lK,23,Metal,"['3qT4bUD1MaWpGrTwcvguhb', '4PRGxHpCpF2yoOHYKQIEwD', '6MSoJM9UIFHozmBCduQRje', '5CQ30WqJwcep0pYcV4AMNc', '5NnZ4JJxWiqqhYNu3rwmFj', '4Sc5qEOSFI5rfS9IDyu0GO', '70gbuMqwNBE2Y5rkQJE9By', '05f8Hg3RSfiPSCBQOtxl3i', '59Zl5fFDhkGhFv0TGeyqbv', '35a7EjRYYLLyH4prB1zExl', '3gyroWpKKzkVkOhLJ57Tv5', '7llNWna9CEKr88Ng4vAwiI', '05BTaDBhGylMDjupCczCwC', '4Y4xWuvM7MKGKxECXfnKtV', '7s2HYAN8PSba9OGqgTL7mo', '1zLAyTaKUdiZSmOifuu2kv']",0.18130625,-10.25525,117.53425,0.278528313,0.6696875,0.4115625,0.3675145,0.5848125,11/8/1971,16,Atlantic Records
369,Led Zeppelin,Led Zeppelin,44Ig8dzqOkvkGDzaUof9lK,69,Metal,"['3qT4bUD1MaWpGrTwcvguhb', '4PRGxHpCpF2yoOHYKQIEwD', '6MSoJM9UIFHozmBCduQRje', '5CQ30WqJwcep0pYcV4AMNc', '5NnZ4JJxWiqqhYNu3rwmFj', '4Sc5qEOSFI5rfS9IDyu0GO', '70gbuMqwNBE2Y5rkQJE9By', '05f8Hg3RSfiPSCBQOtxl3i', '59Zl5fFDhkGhFv0TGeyqbv', '35a7EjRYYLLyH4prB1zExl', '3gyroWpKKzkVkOhLJ57Tv5', '7llNWna9CEKr88Ng4vAwiI', '05BTaDBhGylMDjupCczCwC', '4Y4xWuvM7MKGKxECXfnKtV', '7s2HYAN8PSba9OGqgTL7mo', '1zLAyTaKUdiZSmOifuu2kv']",0.18130625,-10.25525,117.53425,0.278528313,0.6696875,0.4115625,0.3675145,0.5848125,11/8/1971,16,Atlantic Records
655,Led Zeppelin,Led Zeppelin [IV],44Ig8dzqOkvkGDzaUof9lK,55,Electronic,"['3qT4bUD1MaWpGrTwcvguhb', '4PRGxHpCpF2yoOHYKQIEwD', '6MSoJM9UIFHozmBCduQRje', '5CQ30WqJwcep0pYcV4AMNc', '5NnZ4JJxWiqqhYNu3rwmFj', '4Sc5qEOSFI5rfS9IDyu0GO', '70gbuMqwNBE2Y5rkQJE9By', '05f8Hg3RSfiPSCBQOtxl3i', '59Zl5fFDhkGhFv0TGeyqbv', '35a7EjRYYLLyH4prB1zExl', '3gyroWpKKzkVkOhLJ57Tv5', '7llNWna9CEKr88Ng4vAwiI', '05BTaDBhGylMDjupCczCwC', '4Y4xWuvM7MKGKxECXfnKtV', '7s2HYAN8PSba9OGqgTL7mo', '1zLAyTaKUdiZSmOifuu2kv']",0.18130625,-10.25525,117.53425,0.278528313,0.6696875,0.4115625,0.3675145,0.5848125,11/8/1971,16,Atlantic Records
